Instance,V,K,M*,OPT,Sec
EEuclideo.50.50.1,50,50,9,1856,3
EEuclideo.50.50.2,50,50,9,1070,0
EEuclideo.50.50.3,50,50,10,1553,9
EEuclideo.50.50.4,50,50,7,1394,10
EEuclideo.50.50.5,50,50,3,1536,10
EEuclideo.50.100.1,50,100,13,2397,15
EEuclideo.50.100.2,50,100,12,2138,23
EEuclideo.50.100.3,50,100,11,1852,10
EEuclideo.50.100.4,50,100,16,3093,39
EEuclideo.50.100.5,50,100,13,2603,21
EEuclideo.50.150.1,50,150,16,2784,32
EEuclideo.50.150.2,50,150,12,2137,12
EEuclideo.50.150.3,50,150,15,2308,49
EEuclideo.50.150.4,50,150,15,2524,15
EEuclideo.50.150.5,50,150,17,3150,53
EEuclideo.50.200.1,50,200,20,3354,18
EEuclideo.50.200.2,50,200,16,2397,17
EEuclideo.50.200.3,50,200,12,2319,62
EEuclideo.50.200.4,50,200,17,2858,27
EEuclideo.50.200.5,50,200,18,3575,53
EEuclideo.100.50.1,100,50,10,1468,139
EEuclideo.100.50.2,100,50,8,971,66
EEuclideo.100.50.3,100,50,11,1623,159
EEuclideo.100.50.4,100,50,11,1718,80
EEuclideo.100.50.5,100,50,12,2494,168
EEuclideo.100.100.1,100,100,17,2121,130
EEuclideo.100.100.2,100,100,14,1906,405
EEuclideo.100.100.3,100,100,14,1822,199
EEuclideo.100.100.4,100,100,10,1649,55
EEuclideo.100.100.5,100,100,16,2925,758
EEuclideo.100.150.1,100,150,15,2195,534
EEuclideo.100.150.2,100,150,17,2806,423
EEuclideo.100.150.3,100,150,19,2257,440
EEuclideo.100.150.4,100,150,20,2625,234
EEuclideo.100.150.5,100,150,19,3150,484
EEuclideo.100.200.1,100,200,11,1883,166
EEuclideo.100.200.2,100,200,25,3077,369
EEuclideo.100.200.3,100,200,24,2791,356
EEuclideo.100.200.4,100,200,20,3409,455
EEuclideo.100.200.5,100,200,19,2732,376
EEuclideo.150.50.1,150,50,13,1658,498
EEuclideo.150.50.2,150,50,8,1383,512
EEuclideo.150.50.3,150,50,8,821,516
EEuclideo.150.50.4,150,50,11,1676,1612
EEuclideo.150.50.5,150,50,13,1823,1647
EEuclideo.150.100.1,150,100,18,1717,1243
EEuclideo.150.100.2,150,100,12,1798,1419
EEuclideo.150.100.3,150,100,17,1959,2304
EEuclideo.150.100.4,150,100,15,1609,3408
EEuclideo.150.100.5,150,100,15,1585,1216
EEuclideo.150.150.1,150,150,20,1669,367
EEuclideo.150.150.2,150,150,25,2526,1801
EEuclideo.150.150.3,150,150,20,2456,3092
EEuclideo.150.150.4,150,150,17,1761,1268
EEuclideo.150.150.5,150,150,19,2355,3155
EEuclideo.150.200.1,150,200,20,1760,365
EEuclideo.150.200.2,150,200,25,2312,1732
EEuclideo.150.200.3,150,200,26,2594,1317
EEuclideo.150.200.4,150,200,16,1889,3431
EEuclideo.150.200.5,150,200,23,2472,3787
EEuclideo.200.50.1,200,50,14,1102,1644
EEuclideo.200.50.2,200,50,7,607,337
EEuclideo.200.50.3,200,50,7,530,550
EEuclideo.200.50.4,200,50,10,908,849
EEuclideo.200.50.5,200,50,12,1067,2248
EEuclideo.200.100.1,200,100,13,949,490
EEuclideo.200.100.2,200,100,19,2271,8188
EEuclideo.200.100.3,200,100,14,1611,2515
EEuclideo.200.100.4,200,100,18,1799,4697
EEuclideo.200.100.5,200,100,29,3161,8599
EEuclideo.200.150.1,200,150,17,1730,1574
EEuclideo.200.150.2,200,150,28,2745,15951
EEuclideo.200.150.3,200,150,21,1861,2613
EEuclideo.200.150.4,200,150,24,2460,18024
EEuclideo.200.150.5,200,150,19,2079,11505
EEuclideo.200.200.1,200,200,19,1736,3937
EEuclideo.200.200.2,200,200,23,2352,10647
EEuclideo.200.200.3,200,200,24,2505,7873
EEuclideo.200.200.4,200,200,21,3314,18053
EEuclideo.200.200.5,200,200,24,2427,5481
EEuclideo.250.50.1,250,50,7,533,556
EEuclideo.250.50.2,250,50,11,1103,5451
EEuclideo.250.50.3,250,50,13,1295,14030
EEuclideo.250.50.4,250,50,14,1553,15487
EEuclideo.250.50.5,250,50,6,1142,17399
EEuclideo.250.100.1,250,100,12,2447,18057
EEuclideo.250.100.2,250,100,13,932,2771
EEuclideo.250.100.3,250,100,18,1361,16376
EEuclideo.250.100.4,250,100,17,1759,18029
EEuclideo.250.100.5,250,100,15,1708,18059
EEuclideo.250.150.1,250,150,16,1168,1453
EEuclideo.250.150.2,250,150,23,2205,7999
EEuclideo.250.150.3,250,150,16,1582,10211
EEuclideo.250.150.4,250,150,19,2636,18078
EEuclideo.250.150.5,250,150,16,2121,18074
EEuclideo.250.200.1,250,200,21,1677,15189
EEuclideo.250.200.2,250,200,26,2787,18019
EEuclideo.250.200.3,250,200,26,3555,18065
EEuclideo.250.200.4,250,200,18,2432,18045
EEuclideo.250.200.5,250,200,19,2771,18071
